CONTENIDO,,,,,,,,

1,"Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia",,,,,,,
2,"Divorcios por pueblo de pertenencia del hombre, según pueblo de pertenencia de la mujer",,,,,,,
3,"Divorcios por mes registro, según departamento de registro",,,,,,,
4,"Divorcios por subgrupos ocupacionales de la mujer, según subgrupos ocupacionales del hombre",,,,,,,
5,"Divorcios por mes de ocurrencia, según día de ocurrencia",,,,,,,
" Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia, año 2015 ",,,,,,,,,,,,,,
 Edad de la esposa , Total , Edad del esposo ,,,,,,,,,,,,
,, Menos de 15 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60 y más , Ignorado ,
 Todas las edades , 5.726   , -     , 17   , 266   , 597   , 596   , 412   , 253   , 160   , 96   , 57   , 78   , 3.194   ,
 Menos de 15 , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     ,
 15 - 19 , 105   , -     , 6   , 57   , 23   , 6   , 6   , 2   , 1   , 1   , -     , -     , 3   ,
 20 - 24 , 520   , -     , 8   , 149   , 235   , 82   , 24   , 10   , 4   , -     , 1   , -     , 7   ,
 25 - 29 , 639   , -     , 2   , 49   , 253   , 221   , 55   , 17   , 12   , 1   , -     , 2   , 27   ,
 30 - 34 , 515   , -     , 1   , 6   , 60   , 196   , 144   , 39   , 17   , 5   , 1   , 2   , 44   ,
 35 - 39 , 332   , -     , -     , 2   , 6   , 42   , 118   , 71   , 25   , 10   , 6   , 5   , 47   ,
 40 - 44 , 211   , -     , -     , -     , 4   , 7   , 17   , 61   , 42   , 20   , 8   , 8   , 44   ,
 45 - 49 , 94   , -     , -     , 1   , 2   , 3   , 7   , 10   , 25   , 21   , 5   , 1   , 19   ,
 50 - 54 , 67   , -     , -     , -     , -     , 1   , 2   , 1   , 3   , 16   , 16   , 11   , 17   ,
 55 - 59 , 37   , -     , -     , -     , 1   , -     , 1   , 1   , 1   , 2   , 9   , 15   , 7   ,
 60 y más , 31   , -     , -     , -     , -     , -     , -     , -     , 1   , 2   , 2   , 20   , 6   ,
 Ignorado , 3.175   , -     , -     , 2   , 13   , 38   , 38   , 41   , 29   , 18   , 9   , 14   , 2.973   ,
" Divorcios por pueblo de pertenencia del hombre, según pueblo de pertenencia de la mujer, año 2015 ",,,,,,,
 Pueblo de pertenencia de la mujer , Total , Pueblo de pertenencia del hombre ,,,,,
,, Maya , Garífuna , Xinka , Mestizo / ladino , Otro , Ignorado 
 Todos los pueblos , 5.726 , 345 , 2 , - , 1.925 , 15 , 3.439 
 Maya , 334 , 228 , 1 , - , 47 , 1 , 57 
 Garífuna , 1 , - , 1 , - , - , - , - 
 Xinka , - , - , - , - , - , - , - 
 Mestizo / ladino , 1.983 , 71 , - , - , 1.593 , 7 , 312 
 Otro , 12 , 3 , - , - , 5 , 1 , 3 
 Ignorado , 3.396 , 43 , - , - , 280 , 6 , 3.067 
" Divorcios por mes de registro, según departamento de registro, año 2015 ",,,,,,,,,,,,,
Departamento de registro,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los departamentos, 5.726 , 389 , 454 , 508 , 443 , 491 , 460 , 519 , 618 , 473 , 510 , 431 , 430 
Guatemala, 2.334 , 143 , 169 , 199 , 175 , 228 , 161 , 199 , 331 , 194 , 211 , 173 , 151 
El Progreso, 99 , 4 , 2 , 7 , 8 , 9 , 13 , 9 , 5 , 9 , 11 , 10 , 12 
Sacatepequez, 106 , 6 , 14 , 14 , 6 , 10 , 8 , 9 , 9 , 7 , 9 , 5 , 9 
Chimaltenango, 124 , 9 , 6 , 5 , 10 , 8 , 16 , 9 , 15 , 11 , 10 , 16 , 9 
Escuintla, 283 , 30 , 26 , 29 , 18 , 31 , 24 , 22 , 17 , 20 , 22 , 23 , 21 
Santa Rosa, 176 , 18 , 13 , 15 , 13 , 12 , 11 , 19 , 13 , 12 , 15 , 18 , 17 
Solola, 69 , 6 , 8 , 7 , 6 , 5 , 4 , 3 , 3 , 4 , 7 , 3 , 13 
Totonicapan, 83 , 2 , 8 , 8 , 7 , 4 , 6 , 10 , 12 , 8 , 3 , 8 , 7 
Quetzaltenango, 394 , 31 , 36 , 33 , 35 , 34 , 34 , 38 , 23 , 32 , 40 , 28 , 30 
Suchitepequez, 151 , 4 , 15 , 9 , 14 , 15 , 18 , 11 , 12 , 9 , 12 , 18 , 14 
Retalhuleu, 167 , 10 , 15 , 27 , 18 , 9 , 11 , 25 , 18 , 9 , 12 , 7 , 6 
San Marcos, 209 , 12 , 15 , 16 , 11 , 20 , 25 , 8 , 16 , 25 , 25 , 16 , 20 
Huehuetenango, 173 , 10 , 12 , 20 , 12 , 10 , 20 , 17 , 22 , 12 , 17 , 4 , 17 
Quiche, 144 , 14 , 11 , 14 , 9 , 11 , 13 , 15 , 12 , 18 , 12 , 9 , 6 
Baja Verapaz, 92 , 1 , 7 , 8 , 12 , 6 , 7 , 8 , 10 , 13 , 8 , 5 , 7 
Alta Verapaz, 140 , 8 , 16 , 14 , 14 , 11 , 7 , 14 , 8 , 15 , 12 , 12 , 9 
Peten, 165 , 12 , 20 , 11 , 11 , 10 , 15 , 16 , 13 , 22 , 8 , 16 , 11 
Izabal, 153 , 12 , 13 , 18 , 16 , 10 , 10 , 14 , 13 , 12 , 16 , 9 , 10 
Zacapa, 145 , 15 , 14 , 16 , 12 , 12 , 8 , 9 , 9 , 11 , 12 , 12 , 15 
Chiquimula, 120 , 10 , 6 , 5 , 6 , 7 , 9 , 17 , 15 , 8 , 14 , 9 , 14 
Jalapa, 127 , 10 , 8 , 5 , 11 , 9 , 13 , 16 , 14 , 7 , 7 , 10 , 17 
Jutiapa, 272 , 22 , 20 , 28 , 19 , 20 , 27 , 31 , 28 , 15 , 27 , 20 , 15 
" Divorcios por subgrupos ocupacionales de la mujer, según subgrupos ocupacionales del hombre, año 2015 ",,,,,,,,,,,,,
 Subgrupos ocupacionales del hombre , Subgrupos ocupacionales de la mujer ,,,,,,,,,,,,
, Total , Ocupaciones militares , Directores y gerentes , Profesionales científicos e intelectuales , Técnicos y profesionales de nivel medio , Personal de apoyo administrativo , Trabajadores de los servicios y vendedores de comercios y mercados ," Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros "," Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", Operadores de intalaciones y máquinas y ensambladores , Ocupaciones elementales , Ocupación  no especificada , Ignorado 
 Todos los grupos ocupacionales , 5.726 , 1 , 34 , 438 , 174 , 400 , 126 , - , 26 , 14 , 6 , 2.929 , 1.578 
 Ocupaciones militares , 14 , - , - , 5 , 1 , 4 , - , - , - , - , - , 4 , - 
 Directores y gerentes , 45 , - , 7 , 4 , 1 , 12 , 1 , - , - , - , - , 19 , 1 
 Profesionales científicos e intelectuales , 399 , - , 11 , 139 , 17 , 60 , 9 , - , - , - , 1 , 136 , 26 
 Técnicos y profesionales de nivel medio , 341 , - , 2 , 44 , 50 , 73 , 13 , - , 1 , - , 1 , 142 , 15 
 Personal de apoyo administrativo , 249 , - , 4 , 24 , 22 , 60 , 9 , - , 3 , - , 2 , 105 , 20 
 Trabajadores de los servicios y vendedores de comercios y mercados , 335 , - , 2 , 34 , 7 , 28 , 31 , - , 5 , 1 , - , 206 , 21 
" Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros ", 616 , - , 1 , 20 , 12 , 11 , 7 , - , 4 , 5 , - , 490 , 66 
" Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", 279 , - , - , 16 , 9 , 18 , 11 , - , 4 , - , 1 , 193 , 27 
 Operadores de instalaciones y máquinas y ensambladores , 138 , - , 1 , 12 , 4 , 10 , 5 , - , 2 , 6 , - , 89 , 9 
 Ocupaciones elementales , 163 , - , - , 2 , 3 , 2 , 3 , - , 2 , 1 , 1 , 132 , 17 
 No especificado en otro grupo , 1.671 , 1 , 4 , 112 , 36 , 104 , 25 , - , 5 , - , - , 1.286 , 98 
 Ignorado , 1.476 , - , 2 , 26 , 12 , 18 , 12 , - , - , 1 , - , 127 , 1.278 

"Divorcios por mes de ocurrencia, según día de ocurrencia, año 2015",,,,,,,,,,,,,
Día de ocurrencia,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los días, 5.726   , 406   , 473   , 562   , 493   , 501   , 554   , 580   , 560   , 478   , 500   , 322   , 297   
1, 116   , -     , -     , -     , 3   , -     , 30   , 22   , -     , 19   , 26   , -     , 16   
2, 184   , -     , 27   , 27   , -     , -     , 24   , 34   , -     , 28   , 26   , 2   , 16   
3, 178   , -     , 20   , 20   , -     , -     , 21   , 22   , 33   , 19   , -     , 19   , 24   
4, 162   , -     , 24   , 22   , -     , 21   , 29   , -     , 19   , 19   , -     , 8   , 20   
5, 184   , 12   , 28   , 24   , -     , 33   , 24   , -     , 25   , -     , 25   , 13   , -     
6, 199   , 9   , 13   , 39   , 39   , 15   , 1   , 25   , 25   , 1   , 22   , 10   , -     
7, 165   , 15   , 1   , -     , 25   , 32   , -     , 21   , 26   , 11   , 23   , -     , 11   
8, 173   , 23   , -     , -     , 20   , 34   , 26   , 16   , -     , 20   , 20   , -     , 14   
9, 201   , 28   , 25   , 26   , 20   , 1   , 13   , 12   , -     , 14   , 28   , 17   , 17   
10, 225   , -     , 33   , 21   , 22   , -     , 31   , 29   , 34   , 22   , 2   , 20   , 11   
11, 163   , -     , 17   , 21   , 1   , 19   , 21   , 1   , 32   , 20   , -     , 15   , 16   
12, 201   , 29   , 27   , 19   , -     , 28   , 24   , -     , 21   , 1   , 30   , 22   , -     
13, 227   , 19   , 24   , 25   , 27   , 22   , -     , 33   , 36   , -     , 29   , 12   , -     
14, 166   , 17   , 1   , 1   , 32   , 15   , -     , 24   , 12   , 25   , 19   , -     , 20   
15, 163   , 17   , -     , 1   , 24   , 23   , 34   , 22   , -     , -     , 32   , 1   , 9   
16, 220   , 13   , 24   , 32   , 21   , -     , 23   , 26   , -     , 27   , 20   , 24   , 10   
17, 181   , 1   , 24   , 24   , 25   , -     , 23   , 29   , 23   , 15   , -     , 12   , 5   
18, 176   , -     , 24   , 19   , -     , 37   , 19   , -     , 30   , 26   , -     , 11   , 10   
19, 194   , 24   , 26   , 25   , -     , 22   , 27   , 1   , 25   , -     , 27   , 17   , -     
20, 207   , 19   , 19   , 21   , 40   , 27   , -     , 31   , 30   , -     , -     , 20   , -     
21, 187   , 25   , -     , -     , 25   , 15   , -     , 20   , 25   , 23   , 31   , -     , 23   
22, 211   , 26   , 1   , 1   , 24   , 29   , 41   , 21   , -     , 26   , 25   , -     , 17   
23, 234   , 20   , 30   , 36   , 17   , -     , 29   , 28   , -     , 16   , 29   , 14   , 15   
24, 173   , -     , 16   , 33   , 19   , -     , 14   , 25   , 29   , 25   , -     , 12   , -     
25, 205   , 1   , 13   , 29   , -     , 34   , 43   , 1   , 27   , 32   , -     , 25   , -     
