DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
19,1901,7,2014,6,6,19,1901,999,999,9,9,76,320,9,9,34,NEOG
10,1001,4,2014,10,3,10,1001,999,999,9,9,76,320,9,9,IGNORADO,IGNORADO
1,0101,9,2014,4,8,3,0301,999,999,4,4,76,320,9,9,IGNORADO,IGNORADO
3,0309,1,2015,7,8,3,0309,30,27,9,9,124,320,1,1,52,NEOG
10,1001,5,2014,4,4,10,1001,999,999,9,9,156,320,9,9,52,NEOG
1,0101,5,2015,5,12,1,0101,48,999,4,9,156,320,4,1,52,51
18,1801,10,2014,11,9,18,1801,999,999,9,9,188,320,9,9,IGNORADO,NEOG
1,0101,10,2014,17,6,1,0101,36,37,4,4,188,320,5,5,21,21
18,1801,12,2014,17,10,18,1801,999,999,9,9,192,320,9,9,34,IGNORADO
8,0801,9,2014,21,7,1,0101,29,36,9,4,192,320,1,5,NEOG,22
1,0101,6,2014,13,2,1,0101,48,38,9,9,192,320,1,1,IGNORADO,IGNORADO
10,1001,8,2014,26,5,1,0101,999,999,9,9,192,320,9,9,IGNORADO,IGNORADO
1,0101,5,2015,17,9,1,0101,999,999,9,9,192,320,9,9,26,52
1,0101,1,2015,4,9,1,0101,42,34,9,4,208,320,1,5,52,52
1,0101,9,2014,14,8,1,0101,999,999,9,9,212,320,9,9,21,34
1,0101,3,2014,7,2,1,0101,45,39,9,4,214,320,1,5,52,12
1,0101,8,2014,24,4,1,0101,44,999,9,9,218,320,1,9,IGNORADO,IGNORADO
1,0101,5,2015,6,11,1,0101,30,30,9,4,218,320,1,4,IGNORADO,NEOG
1,0101,12,2014,6,10,3,0301,37,27,9,4,222,320,1,5,21,NEOG
1,0101,7,2014,6,6,1,0101,34,33,9,4,222,320,1,5,22,21
1,0101,5,2014,5,3,1,0101,42,999,9,9,222,320,1,9,NEOG,NEOG
1,0101,9,2014,7,7,1,0113,999,999,9,9,222,320,9,9,NEOG,NEOG
1,0101,6,2014,24,3,1,0101,61,48,9,9,222,320,9,5,NEOG,NEOG
1,0101,5,2014,9,4,3,0303,999,999,9,9,222,320,9,1,IGNORADO,IGNORADO
22,2201,9,2014,28,7,22,2201,999,999,9,9,222,320,9,9,IGNORADO,IGNORADO
1,0101,12,2014,1,10,1,0101,999,999,9,9,276,320,9,9,IGNORADO,IGNORADO
1,0101,2,2014,20,1,1,0101,80,999,9,9,276,320,9,9,NEOG,41
1,0101,1,2015,14,10,1,0101,999,999,9,9,276,320,9,9,NEOG,NEOG
1,0101,1,2015,10,12,1,0101,999,999,9,9,276,320,9,9,NEOG,NEOG
1,0115,11,2014,23,7,1,0115,34,999,1,9,320,320,3,9,12,NEOG
9,0920,10,2014,1,8,9,0920,23,26,4,4,320,320,3,3,12,NEOG
22,2201,9,2014,12,8,22,2201,27,23,4,4,320,320,2,4,13,43
13,1301,7,2014,21,5,13,1303,999,45,9,4,320,320,1,9,13,NEOG
1,0101,2,2015,17,11,1,0114,28,27,9,4,320,320,1,4,12,21
9,0920,10,2014,22,2,9,0920,30,23,4,4,320,170,5,4,26,44
19,1905,12,2014,28,10,1,0101,999,999,9,9,320,192,9,9,NEOG,IGNORADO
6,0608,10,2014,3,9,1,0101,27,34,4,9,320,192,5,1,IGNORADO,IGNORADO
1,0101,10,2014,26,8,1,0101,999,999,9,9,320,222,9,9,IGNORADO,IGNORADO
1,0101,11,2014,14,10,1,0101,999,999,9,9,320,222,9,9,IGNORADO,IGNORADO
1,0101,12,2014,9,10,22,2205,54,999,4,9,320,222,4,1,75,IGNORADO
19,1905,10,2014,25,8,19,1905,999,999,9,9,320,320,9,9,92,NEOG
5,0513,10,2014,7,7,5,0513,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,24,7,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
21,2101,10,2014,11,8,21,2101,999,999,9,9,320,320,9,1,52,23
9,0920,10,2014,27,3,9,0920,999,999,9,9,320,320,9,9,NEOG,NEOG
21,2101,10,2014,27,8,21,2101,999,999,9,9,320,320,9,9,33,23
15,1506,10,2014,20,8,15,1506,999,999,9,9,320,320,9,9,61,NEOG
1,0101,10,2014,12,5,1,0108,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,1,4,1,0101,999,999,9,9,320,320,9,1,34,23
1,0101,10,2014,14,5,1,0115,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,28,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,7,7,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,7,8,1,0101,999,999,9,9,320,320,9,9,NEOG,IGNORADO
22,2205,10,2014,19,8,22,2205,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
9,0904,10,2014,26,8,9,0904,999,999,9,9,320,320,1,1,IGNORADO,IGNORADO
1,0101,10,2014,22,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,1,4,1,0108,999,999,9,9,320,320,1,1,NEOG,NEOG
1,0101,10,2014,13,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
22,2202,10,2014,26,8,18,1801,999,999,9,9,320,320,9,9,NEOG,NEOG
18,1801,10,2014,7,4,18,1801,999,999,9,9,320,320,9,9,NEOG,IGNORADO
18,1801,10,2014,31,7,18,1802,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,6,5,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
13,1301,10,2014,11,9,13,1331,999,999,9,9,320,320,9,9,61,NEOG
1,0101,10,2014,12,6,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,22,6,1,0117,999,999,9,9,320,320,9,9,NEOG,NEOG
19,1905,10,2014,12,8,19,1905,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
12,1207,10,2014,16,7,12,1207,999,999,9,9,320,320,9,9,23,NEOG
1,0101,10,2014,23,4,1,0108,999,999,9,9,320,320,1,1,NEOG,NEOG
14,1412,10,2014,27,8,14,1412,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
14,1412,10,2014,18,6,14,1412,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
22,2214,10,2014,20,8,22,2214,999,999,9,9,320,320,9,9,61,NEOG
1,0101,10,2014,16,6,1,0101,999,999,9,9,320,320,9,9,24,NEOG
1,0115,10,2014,1,9,1,0115,999,999,9,9,320,320,1,9,NEOG,NEOG
22,2203,10,2014,19,8,22,2203,999,999,9,9,320,320,9,9,92,NEOG
9,0914,10,2014,5,8,9,0914,999,999,9,9,320,320,9,9,92,NEOG
1,0101,10,2014,18,8,1,0107,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
13,1329,10,2014,5,8,13,1329,999,999,9,9,320,320,9,9,61,NEOG
4,0403,10,2014,12,5,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
4,0413,10,2014,3,6,4,0413,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
9,0920,10,2014,29,4,9,0920,999,999,9,9,320,320,9,9,71,41
6,0609,10,2014,5,9,6,0609,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,10,4,1,0108,999,999,9,9,320,320,9,9,NEOG,NEOG
14,1404,10,2014,12,8,14,1404,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
16,1601,10,2014,10,9,16,1601,999,999,9,9,320,320,9,9,23,NEOG
