DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,AÑOOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
8,0801,12,2017,4,12,2017,8,0801,47,999,9,9,320,320,1,1,99,99
1,0101,9,2017,5,8,2017,1,0101,999,999,9,9,320,320,9,9,99,3
1,0101,7,2017,23,5,2017,1,0101,33,31,4,4,188,320,9,9,52,11
1,0101,10,2017,7,7,2017,1,0101,999,999,9,9,320,320,9,9,26,12
1,0101,12,2017,20,7,2017,1,0101,999,999,9,9,320,320,9,9,21,21
1,0101,1,2018,26,10,2017,1,0101,999,999,9,9,320,320,9,9,12,21
1,0104,10,2017,10,8,2017,1,0101,999,999,9,9,320,320,9,9,21,21
1,0101,10,2017,15,6,2017,1,0101,999,999,9,9,320,320,9,9,22,22
1,0101,1,2018,24,8,2017,1,0101,999,999,9,9,320,320,9,9,22,22
1,0101,8,2017,20,3,2017,1,0101,999,999,9,9,320,320,9,9,97,22
1,0101,6,2017,20,2,2017,1,0101,999,999,9,9,320,222,9,9,22,22
1,0101,1,2018,16,6,2017,1,0101,999,999,9,9,320,320,9,9,97,23
5,0510,11,2017,3,11,2017,1,0101,999,999,9,9,320,320,9,9,22,23
16,1601,4,2018,21,9,2017,1,0101,999,999,9,9,320,320,9,9,43,23
1,0101,6,2017,11,4,2017,1,0101,999,999,9,9,320,320,9,9,43,23
2,0201,12,2017,8,11,2017,1,0101,999,999,9,9,840,320,9,9,43,23
1,0101,4,2017,26,1,2017,1,0101,999,999,9,9,320,320,9,9,97,23
1,0101,7,2017,22,5,2017,1,0101,999,999,9,9,320,320,9,9,97,23
1,0101,4,2017,13,3,2017,1,0108,999,999,9,9,320,320,9,9,97,23
1,0101,1,2018,4,12,2017,1,0101,999,999,9,9,320,320,9,9,97,23
1,0101,2,2018,20,12,2017,1,0101,999,999,9,9,320,320,9,9,97,23
1,0101,9,2017,3,8,2017,1,0101,999,999,9,9,320,320,9,9,1,23
1,0101,8,2017,13,7,2017,1,0101,999,999,9,9,320,320,9,9,22,23
1,0101,7,2017,6,4,2017,1,0101,999,999,9,9,320,840,9,9,26,23
1,0101,9,2017,15,6,2017,1,0101,999,999,9,9,320,320,9,9,21,23
1,0101,4,2018,4,8,2017,1,0101,999,999,9,9,320,840,9,9,24,23
1,0101,8,2017,29,5,2017,1,0101,999,999,9,9,320,320,9,9,31,23
1,0101,5,2017,20,4,2017,1,0101,999,999,9,9,320,320,9,9,31,23
1,0101,3,2017,7,2,2017,1,0101,999,999,9,9,320,320,9,9,97,23
1,0115,4,2017,7,3,2017,1,0101,999,999,9,9,320,320,9,9,97,23
1,0101,8,2017,12,6,2017,1,0101,999,999,9,9,320,320,9,9,97,23
1,0101,1,2018,19,12,2017,1,0101,999,999,9,9,320,320,9,9,97,23
1,0101,5,2018,17,8,2017,1,0115,999,999,9,9,320,320,9,9,97,23
4,0401,10,2017,28,9,2017,1,0101,999,999,9,9,320,320,9,9,72,23
1,0101,10,2017,27,4,2017,1,0113,999,999,9,9,320,320,9,9,12,24
1,0101,3,2018,17,11,2017,1,0101,999,999,9,9,320,320,9,9,26,24
1,0101,6,2018,30,11,2017,1,0101,999,999,9,9,320,320,9,9,26,26
1,0101,10,2017,7,8,2017,1,0101,999,999,9,9,320,320,9,9,34,26
1,0101,5,2017,21,3,2017,1,0101,999,999,9,9,320,320,9,9,97,26
1,0101,4,2018,10,7,2017,1,0101,999,999,9,9,858,320,9,9,97,26
1,0101,3,2017,1,2,2017,1,0101,999,999,9,9,320,320,9,9,26,26
1,0101,10,2017,21,8,2017,1,0101,999,999,9,9,320,320,9,9,25,26
1,0101,5,2018,8,8,2017,1,0101,999,999,9,9,320,320,9,9,97,31
1,0101,5,2017,21,2,2017,1,0101,999,999,9,9,320,320,9,9,21,31
1,0101,6,2017,16,5,2017,1,0101,999,999,9,9,320,320,9,9,11,31
1,0101,7,2017,29,5,2017,1,0101,999,999,9,9,320,320,9,9,97,32
1,0101,12,2017,7,11,2017,1,0101,999,999,9,9,320,320,9,9,32,32
11,1101,2,2017,26,1,2017,1,0101,999,999,9,9,320,320,9,9,52,33
1,0101,9,2017,19,6,2017,1,0102,999,999,9,9,320,320,9,9,35,34
1,0101,4,2017,23,2,2017,1,0101,999,999,9,9,320,320,9,9,34,34
1,0114,8,2017,17,5,2017,1,0101,999,999,9,9,320,320,9,9,72,34
1,0101,9,2017,8,6,2017,1,0101,999,999,9,9,320,320,9,9,52,34
1,0101,10,2017,2,8,2017,1,0101,999,999,9,9,320,320,9,9,99,34
16,1601,11,2017,3,11,2017,1,0101,999,999,9,9,320,320,9,9,35,35
1,0101,8,2017,6,4,2017,1,0101,999,999,9,9,320,320,9,9,25,35
1,0101,3,2017,21,2,2017,1,0101,999,999,9,9,320,320,9,9,72,41
1,0101,1,2018,3,11,2017,1,0101,999,999,9,9,320,320,9,9,97,41
1,0101,3,2017,31,1,2017,1,0101,999,999,9,9,320,320,9,9,23,41
1,0101,1,2018,12,10,2017,1,0101,999,999,9,9,320,320,9,9,31,41
1,0101,12,2017,19,10,2017,1,0101,999,999,9,9,320,320,9,9,43,41
1,0101,11,2017,15,11,2017,1,0101,999,999,9,9,320,320,9,9,52,41
1,0101,1,2018,3,10,2017,1,0101,999,999,9,9,320,320,9,9,97,41
1,0101,2,2018,13,12,2017,1,0101,999,999,9,9,320,720,9,9,97,41
1,0101,5,2017,15,3,2017,1,0101,999,999,9,9,320,840,9,9,97,41
1,0101,4,2017,26,1,2017,1,0101,999,999,9,9,320,320,9,9,22,41
1,0101,4,2017,31,1,2017,1,0101,999,999,9,9,320,320,9,9,97,41
1,0101,5,2017,28,2,2017,1,0101,999,999,9,9,320,320,9,9,26,41
1,0101,10,2017,30,8,2017,1,0101,999,999,9,9,320,320,9,9,26,41
1,0101,1,2018,13,12,2017,1,0101,999,999,9,9,320,320,9,9,31,41
1,0101,9,2017,4,7,2017,1,0101,999,999,9,9,320,320,9,9,34,41
1,0101,5,2017,30,3,2017,1,0101,999,999,9,9,320,320,9,9,35,41
1,0101,9,2017,20,3,2017,1,0101,999,999,9,9,320,320,9,9,35,41
1,0101,2,2018,5,12,2017,1,0101,999,999,9,9,320,320,9,9,35,41
1,0101,4,2018,9,8,2017,1,0101,999,999,9,9,320,320,9,9,35,41
1,0101,9,2017,12,6,2017,1,0108,999,999,9,9,320,320,9,9,35,41
1,0101,6,2017,16,3,2017,1,0101,999,999,9,9,320,320,9,9,43,41
1,0101,1,2018,3,11,2017,1,0101,999,999,9,9,320,320,9,9,43,41
1,0101,10,2017,22,8,2017,1,0101,999,999,9,9,320,320,9,9,43,41
1,0101,2,2018,4,12,2017,1,0101,999,999,9,9,320,320,9,9,52,41
1,0101,3,2018,30,10,2017,1,0101,999,999,9,9,320,320,9,9,52,41
1,0101,4,2017,23,1,2017,1,0101,999,999,9,9,320,320,9,9,97,41
1,0101,5,2017,20,4,2017,1,0101,999,999,9,9,320,320,9,9,97,41
1,0101,8,2017,3,7,2017,1,0101,999,999,9,9,320,320,9,9,97,41
1,0103,11,2017,8,9,2017,1,0103,999,999,9,9,320,320,9,9,97,41
1,0101,11,2017,24,8,2017,1,0101,999,999,9,9,840,320,9,9,97,41
1,0101,5,2017,16,1,2017,1,0101,999,999,9,9,320,320,9,9,22,41
1,0101,3,2017,20,1,2017,1,0101,999,999,9,9,320,320,9,9,43,41
1,0101,5,2018,4,10,2017,1,0101,999,999,9,9,320,320,9,9,97,41
1,0101,8,2017,22,2,2017,1,0101,999,999,9,9,320,320,9,9,35,41
1,0101,1,2018,19,6,2017,1,0108,999,999,9,9,320,320,9,9,24,41
1,0101,4,2017,15,3,2017,1,0101,999,999,9,9,320,320,9,9,31,41
1,0101,11,2017,13,10,2017,1,0101,999,999,9,9,320,320,9,9,33,41
1,0101,12,2017,2,10,2017,1,0101,999,999,9,9,320,320,9,9,72,41
1,0101,4,2018,27,11,2017,1,0101,999,999,9,9,320,320,9,9,83,41
1,0101,5,2018,25,10,2017,1,0101,999,999,9,9,320,320,9,9,97,41
1,0101,7,2017,20,3,2017,1,0101,999,999,9,9,9999,9999,9,9,81,97
1,0101,1,2018,11,12,2017,1,0101,999,999,9,9,320,320,9,9,25,43
1,0101,5,2017,15,3,2017,1,0101,999,999,9,9,320,320,9,9,34,43
1,0101,9,2017,22,6,2017,1,0115,999,999,9,9,320,320,9,9,35,43
1,0101,2,2018,13,10,2017,1,0101,999,999,9,9,320,320,9,9,35,43
1,0101,5,2017,28,2,2017,1,0101,999,999,9,9,320,320,9,9,43,43
1,0101,7,2017,14,2,2017,1,0101,999,999,9,9,320,320,9,9,43,43
1,0101,10,2017,22,8,2017,1,0101,999,999,9,9,320,320,9,9,43,43
1,0101,5,2018,23,2,2017,1,0108,999,999,9,9,320,320,9,9,43,43
1,0101,8,2017,31,5,2017,1,0101,999,999,9,9,320,320,9,9,52,43
