DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,AÑOOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
1,0101,1,2023,14,12,2022,1,0101,38,43,9,4,124,320,9,5,01,01
1,0115,9,2022,16,8,2022,1,0101,30,35,4,4,320,320,9,5,01,26
19,1901,1,2023,7,12,2022,1,0101,33,30,4,4,320,320,5,5,01,26
1,0101,10,2022,20,9,2022,1,0101,34,32,4,4,320,320,5,4,01,41
1,0101,12,2022,28,11,2022,1,0101,31,24,4,4,320,320,5,4,01,43
1,0101,3,2023,14,11,2022,1,0101,32,32,4,4,320,320,5,4,01,43
1,0101,1,2023,6,12,2022,1,0101,35,24,4,4,320,320,5,4,01,97
11,1101,3,2022,28,2,2022,11,1101,34,34,4,4,320,320,9,4,01,23
20,2001,3,2023,24,8,2022,20,2001,999,999,9,9,320,56,9,9,01,97
11,1101,4,2022,7,4,2022,1,0108,39,41,9,4,320,320,9,5,01,01
1,0101,3,2022,21,2,2022,1,0101,999,999,9,9,320,320,9,9,03,23
1,0115,9,2022,19,9,2022,1,0101,999,999,9,9,320,320,9,9,03,97
15,1502,11,2022,27,10,2022,1,0101,999,999,9,9,320,320,9,9,03,99
19,1901,12,2022,21,11,2022,19,1901,27,23,4,9,320,320,9,2,03,97
6,0601,3,2022,14,2,2022,22,2205,46,23,9,9,840,320,9,4,03,51
22,2205,12,2022,28,11,2022,22,2205,27,27,4,4,320,320,4,3,03,97
1,0101,6,2023,5,12,2022,1,0108,999,999,9,9,320,320,9,9,03,41
1,0101,7,2022,6,4,2022,1,0108,999,999,9,9,320,320,9,1,03,97
1,0101,5,2022,11,5,2022,1,0101,999,999,9,9,320,320,9,9,11,41
1,0115,10,2022,19,9,2022,1,0101,29,28,4,4,320,320,4,4,11,43
1,0101,10,2022,29,8,2022,1,0101,34,32,4,4,320,320,5,4,11,44
9,0901,6,2022,20,6,2022,9,0901,35,39,4,5,320,320,9,5,11,21
16,1601,9,2022,28,1,2022,16,1605,44,27,1,1,320,320,4,4,11,41
9,0922,10,2022,21,9,2022,9,0920,35,29,4,4,320,320,6,9,11,41
9,0901,7,2022,12,7,2022,9,0923,34,38,4,4,320,320,5,5,11,21
1,0101,12,2022,22,9,2022,1,0101,47,44,4,4,320,320,9,9,12,12
18,1804,4,2022,23,2,2022,1,0101,43,42,4,4,320,320,5,5,12,12
1,0101,9,2022,25,8,2022,1,0101,37,37,4,4,320,320,6,9,12,21
1,0101,12,2022,14,11,2022,1,0101,53,55,4,4,320,320,5,5,12,21
19,1902,11,2022,18,10,2022,1,0101,48,47,4,4,320,320,5,5,12,33
1,0115,8,2022,3,6,2022,1,0101,42,39,4,4,320,320,5,4,12,41
1,0103,9,2022,23,8,2022,1,0101,37,31,4,4,320,320,5,5,12,42
1,0101,7,2022,5,5,2022,1,0101,28,31,4,4,320,320,5,4,12,43
1,0101,3,2023,18,2,2022,1,0101,47,40,4,4,320,320,5,5,12,43
1,0115,3,2022,16,2,2022,1,0101,49,44,5,4,320,320,5,5,12,52
1,0101,8,2022,8,8,2022,1,0101,48,47,5,4,840,320,6,5,12,52
1,0101,9,2022,3,8,2022,1,0101,39,38,4,9,320,320,6,1,12,97
1,0113,9,2022,5,1,2022,1,0101,999,999,9,9,320,320,9,1,12,97
1,0101,12,2022,18,11,2022,1,0101,32,32,4,4,320,320,4,4,12,97
1,0101,3,2023,28,12,2022,1,0101,40,41,4,5,320,720,6,4,12,97
1,0101,5,2022,18,1,2022,1,0101,999,45,9,9,222,320,9,9,12,97
1,0101,8,2022,3,8,2022,1,0101,43,30,4,5,320,320,5,4,12,97
3,0301,5,2022,27,4,2022,3,0301,29,31,4,4,320,320,5,5,12,51
9,0901,10,2022,25,10,2022,9,0901,35,29,9,4,320,320,5,5,12,23
9,0901,7,2022,25,7,2022,9,0901,37,38,4,4,320,320,5,4,12,97
